case_id,source_dataset,status,message,current_A,current_density_A_cm2,egr_fraction,V_exp,V_sim,err_V,stack_in_flow_SLPM,stack_in_flow_kg_s,fresh_supply_flow_SLPM,stack_in_p_kPa_g,stack_out_p_kPa_g,cathode_dp_kPa,stack_in_T_C,stack_in_RH,pO2_stack_kPa,pCa_stack_kPa_abs,pCa_out_boundary_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,T_stack_C,xO2_stack,RH_stack,pO2_in_kPa,xO2_in,RH_in,lambda_m,lambda_ca,lambda_an,mMem_kg_s,N_drag_mol_s,N_diff_mol_s,J_drag_mol_m2_s,J_diff_mol_m2_s,J_net_mol_m2_s,mDrag_kg_s,mDiff_kg_s,mMem_raw_kg_s,mMem_limit_delta_kg_s,mCaOut_kg_s,mIn_kg_s,mIn_error_kg_s,lambdaO2,phaseCa_kg_s,phaseAn_kg_s,condensedCa_kg,condensedAn_kg,psatCa_next_kPa,psatAn_next_kPa,mV_ca_preclip_kg,mV_an_preclip_kg,resO2_kg_s,resN2_kg_s,resH2Oca_kg_s,resH2_kg_s,resH2Oan_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V
initial_noegr_11,initial_noegr_steady_xlsx,ok,,646,1.7,0,0.60195,0.59575392990426,-0.00619607009573986,308.8,0.00665464,308.8,150.1,104.4,45.7,75.1,0.4,20.788469009612,254.12151814106,205.725,247.68085097357,279.799735705704,80.2721892512617,0.0818052290954464,1,49.4257515280079,0.196582485942161,0.4,9.45907380349923,14.003,4.91514760699846,2.20216932004088e-06,0.0784614713504593,0.078340526127063,0.129048472615887,0.128849549551091,0.000201050941935131,0.0014135053755905,0.00141132651352636,2.17886206414569e-06,2.33072558951936e-08,0.0064411524167163,0.00665464,0,1.73337940168276,0.000323691532356987,0,6.47383064713974e-06,0,47.9349500532937,47.9349500532937,6.52491900570919e-05,2.95368878847148e-05,-1.49077798716757e-19,1.19262238973405e-18,-4.06575814682064e-20,1.42301535138722e-19,1.07573184301296e-19,1.19262238973405e-18,178.763021791878,6803.63138050957,6091.80632276811,497.448988209268,35.6130477403165,1.18606680311821,0.456255920689492,0.134056952524458,2.35604217938642e-150
initial_noegr_12,initial_noegr_steady_xlsx,ok,,684,1.8,0,0.59018125,0.587088291179146,-0.00309295882085414,326.2,0.00702961,326.2,149.9,99.9,50,75.3,0.4,20.5823489029474,252.239135295123,201.225,249.575577081443,280.046392782957,80.0002151694207,0.081598554795495,1,49.356603895015,0.196463743238193,0.4,9.29450673760989,14.003,4.5860134752198,6.8107297706931e-06,0.0811283654976483,0.0807515698616773,0.133434811673764,0.132815082009338,0.00062179761710515,0.00146155022038247,0.00145476214149768,6.78807888479456e-06,2.26508858985337e-08,0.00680262154281294,0.00702961,0,1.72865744111322,0.000348151715264525,0,6.9630343052905e-06,0,47.4106801374129,47.4106801374129,6.51403310438818e-05,2.80428853023611e-05,-4.06575814682064e-20,-1.73472347597681e-18,2.16840434497101e-19,-6.09863722023096e-20,-9.3173624197973e-21,1.73472347597681e-18,118.887195323223,7298.68174133543,6650.6310606099,495.001460976005,34.162024426299,1.18646722912661,0.45740370665675,0.14197523129071,6.09204102099503e-150
initial_noegr_13,initial_noegr_steady_xlsx,ok,,722,1.9,0,0.57885625,0.577750944942316,-0.00110530505768403,344.4,0.00742182,344.4,150,94.7,55.3,75.6,0.4,20.329060731963,250.324363904951,196.025,250.527718871408,280.121287034652,80.2767101085667,0.0812108754211479,1,49.3363220535735,0.196304872390624,0.4,9.16134014574686,14.003,4.31968029149374,9.09911182144563e-06,0.0839849660945485,0.083481018690382,0.138133167918665,0.137304307056549,0.000830719502731412,0.0015130126799838,0.00150393392639247,9.078753591332e-06,2.03582301136313e-08,0.00720141315962805,0.00742182,0,1.72815361476621,0.000350210852430457,0,7.00421704860914e-06,0,47.9437055369969,47.9437055369969,6.57895600181079e-05,2.72142302313041e-05,-2.03287907341032e-19,-4.33680868994202e-19,-2.98155597433514e-19,2.03287907341032e-20,1.01643953670516e-19,4.33680868994202e-19,105.460791408494,7812.02908402637,7173.10672691948,497.489969133935,35.9715965644587,1.18635147065965,0.458706475951172,0.149894049766165,1.57522493129352e-149
cegr0608_001,cegr_0608_txt,ok,,38,0.1,0,0.798,0.797981808988265,-1.81910117355022e-05,57.2,0.00123266,49.9,39.68,32.99,6.69,50.12,0.556,23.0897802256869,144.533536682643,134.315,137.712871103569,152.087555818111,59.0000439630412,0.159753789713082,0.786313877174291,28.0745614716699,0.19910330464643,0.563266663659657,6.58900204185144,6.91082975613092,6.26717432757197,-1.28258964063162e-05,0.00286939882093684,0.00358129077472716,0.00471940595548823,0.00589028087948546,-0.00117096289108433,5.16930231908471e-05,6.45179560681267e-05,-1.28249328772796e-05,-9.63529036622125e-10,0.00122620399623373,0.00123266,2.16840434497101e-19,5.50288888229954,0,0,0,0,19.0398878620355,19.0398878620355,1.95327251650298e-05,1.40657244136037e-05,-6.7762635780344e-20,1.30104260698261e-18,4.06575814682064e-20,-4.06575814682064e-20,4.74338450462408e-20,1.30104260698261e-18,879.261587126946,277.259060135135,-919.889941425058,305.996878621022,11.8905358122247,1.19496581446966,0.389061095109101,0.0079229103722979,5.90074621216773e-157
cegr0608_002,cegr_0608_txt,ok,,38,0.1,0.0536594306,0.794,0.797073093055001,0.00307309305500125,56.2,0.00121111,44.7,39.76,32.84,6.92,51.72,0.512,22.7023491213389,144.202603725332,134.165,137.647530269339,152.11120315861,59.7011945463974,0.157433697692317,0.766946590098807,27.8488258334888,0.197390408856284,0.523972211967046,6.20395173615958,6.50295860345198,5.90494486886717,-1.29838842772369e-05,0.00265806171957451,0.00337871907784108,0.00437181203877387,0.00555710374644914,-0.0011853866731132,4.78857261354164e-05,6.08685702286488e-05,-1.29828440932324e-05,-1.0401840044907e-09,0.00120449418666748,0.00121111,-2.16840434497101e-19,5.36203109577253,0,0,0,0,19.6708786082945,19.6708786082945,1.96415422889019e-05,1.41229870797003e-05,-2.43945488809238e-19,-1.13841228110978e-18,1.6940658945086e-21,-1.11808349037568e-19,-7.28448334638698e-20,1.13841228110978e-18,790.292608905574,277.811559422559,-835.294996821157,312.307589747141,10.5063575910011,1.19422491703019,0.389219980504148,0.00793184347104587,5.90074621216773e-157
cegr0608_003,cegr_0608_txt,ok,,38,0.1,0.2858217391,0.787,0.797242676838458,0.0102426768384579,59.8,0.00128869,33.6,40.08,32.59,7.49,52.78,0.5004,21.699166165142,144.597936456125,133.915,137.592265172036,152.131189327441,59.2824671130774,0.150065531341287,0.784955975219066,26.4925812551432,0.187352507019859,0.535479137329453,6.56115625734141,6.88106778312144,6.24124473156139,-1.31178267893126e-05,0.00285393373235026,0.0035820429679973,0.00469396995452345,0.00589151803946925,-0.00119761519158946,5.1414415289735e-05,6.45315070405025e-05,-1.31170917507675e-05,-7.35038545102222e-10,0.00128193744018156,0.00128869,0,5.43011092547358,0,0,0,0,19.2919449814968,19.2919449814968,1.9740343650244e-05,1.42143475096012e-05,-1.35525271560688e-19,-2.71050543121376e-19,1.86347248395946e-20,-6.7762635780344e-21,1.6940658945086e-21,2.71050543121376e-19,643.776099636613,277.708452482218,-683.696692053656,308.539628913298,9.0894159859628,1.19429140883916,0.389125114183437,0.00792361781726206,5.90074621216773e-157
cegr0608_004,cegr_0608_txt,ok,,38,0.1,0.3707279438,0.782,0.796822160825319,0.014822160825319,56.9,0.001226195,27.2,39.51,32.52,6.99,52.91,0.5565,20.4112811150514,143.995949517693,133.845,137.041523297366,152.332426660187,59.2084642992248,0.141748994908662,0.826286270871636,25.4105378857234,0.180427719570586,0.577041607749535,7.48670564687564,7.8611430308789,7.11226826287239,-1.44602410874946e-05,0.00338315210269751,0.00418578975050223,0.00556439490575249,0.00688452261595762,-0.00132017327859055,6.09484324126845e-05,7.54081743764279e-05,-1.44597419637434e-05,-4.99123751190037e-10,0.0012180995313692,0.001226195,-2.16840434497101e-19,4.98910280519679,0,0,0,0,19.2256257322246,19.2256257322246,2.07129093214545e-05,1.49528676902184e-05,9.48676900924816e-20,-7.04731412115578e-19,9.99498877760074e-20,-5.75982404132924e-20,-3.21872519956634e-20,7.04731412115578e-19,623.655047705906,277.964126218206,-661.955568345784,307.873684072832,8.39096278525147,1.19383663665042,0.389108347624654,0.00790612820044869,5.90074621216773e-157
cegr0608_005,cegr_0608_txt,ok,,38,0.1,0.4680959866,0.777,0.796527952158944,0.0195279521589439,59.8,0.00128869,22.7,39.6,32.43,7.17,53.12,0.616,19.6221776038982,144.422521081787,133.755,136.835572943474,152.408225501955,59.2305877112338,0.135866466371862,0.840099289787637,24.292929763005,0.17238197454678,0.619122804919603,7.8304993029703,8.22555474419271,7.43544386174788,-1.49659097460384e-05,0.00358770406582796,0.00441841460982413,0.0059008290556381,0.00726712929247389,-0.00136633919289245,6.46334933030292e-05,7.95989763520724e-05,-1.49654830490432e-05,-4.26696995181012e-10,0.00128008851005931,0.00128869,0,5.02395718910922,0,0,0,0,19.2454317351117,19.2454317351117,2.10794585511598e-05,1.52273746535962e-05,5.42101086242752e-20,-7.04731412115578e-19,1.16890546721093e-19,-1.11808349037568e-19,4.2351647362715e-20,7.04731412115578e-19,604.981969319996,278.143005087362,-643.453457820283,308.072869473227,8.54162411442291,1.19354196374026,0.389113362535081,0.00790064904623054,5.90074621216773e-157
cegr0608_006,cegr_0608_txt,ok,,38,0.1,0.5478621762,0.768,0.795682822937547,0.0276828229375468,57.9,0.001247745,17.4,39.51,32.27,7.24,53.16,0.68,17.8390905336064,143.909165296494,133.595,136.246453238601,152.626773346741,59.3240342500739,0.123960767174577,0.878642822023295,22.6892621407392,0.161105280226784,0.679657652931742,8.88693728837293,9.3469055158507,8.42696906089516,-1.64236645945614e-05,0.00424330087020968,0.00515493853421337,0.00697911327337118,0.00847851732600883,-0.00149942749938135,7.6444253301071e-05,9.28676610766434e-05,-1.64234077755724e-05,-2.56818988997868e-10,0.00123768574622278,0.001247745,-2.16840434497101e-19,4.56377234961594,0,0,0,0,19.3292816685576,19.3292816685576,2.21364091876287e-05,1.60126327011205e-05,9.48676900924816e-20,-2.71050543121376e-19,-1.05032085459533e-19,-5.0821976835258e-20,2.03287907341032e-20,2.71050543121376e-19,610.325774197791,278.656843653972,-648.934136870296,308.913866947569,8.35133937890822,1.19270371412128,0.389134536411254,0.00788635477248346,5.90074621216773e-157
cegr0608_007,cegr_0608_txt,ok,,38,0.1,0.6205626263,0.75,0.795056836497465,0.0450568364974652,59.4,0.00128007,13.5,39.44,32.11,7.33,53.31,0.732,16.3924999686048,144.013693194742,133.435,136.013497499929,152.713880066374,59.3401752402418,0.113825981439405,0.894793911038207,21.0715270778245,0.149692942690473,0.715011516250934,9.37383633762803,9.86469602277397,8.88297665248209,-1.70047389383053e-05,0.00455918943022696,0.0055030858004714,0.00749866682603118,0.00905112796130165,-0.00155247770904547,8.21350741585791e-05,9.91396315595164e-05,-1.70045574009373e-05,-1.81537367972985e-10,0.00126942939139718,0.00128007,0,4.36398102892845,0,0,0,0,19.343796505888,19.343796505888,2.25591506861482e-05,1.63247182150174e-05,-2.71050543121376e-20,-1.02999206386123e-18,1.35525271560688e-20,-3.3881317890172e-21,-3.3881317890172e-21,1.02999206386123e-18,597.038945570384,279.037443409541,-635.435332294964,309.059189006394,8.37464112772745,1.19207582940765,0.389138195199029,0.00788079771115107,5.90074621216773e-157
cegr0608_008,cegr_0608_txt,ok,,38,0.1,0,0.793,0.796989378282736,0.00398937828273604,45.8,0.00098699,40.3,40.72,34.6,6.12,52.69,0.492,21.7701448024828,144.079494947682,135.925,136.890292011359,152.388090299787,59.363341794377,0.151098147660692,0.831227772947242,28.3505012668005,0.199588167600412,0.476768539626556,7.60793743792398,7.98933277078394,7.22654210506402,-1.48313930803731e-05,0.00345479009391176,0.00427803061800243,0.00568222054919697,0.00703623456908294,-0.00135405825604902,6.22390108830466e-05,7.70699194318868e-05,-1.48309085488402e-05,-4.84531532922783e-10,0.00097852411662043,0.00098699,0,4.41298123051766,0,0,0,0,19.3646453259498,19.3646453259498,2.09776745723968e-05,1.51481298362484e-05,-8.13151629364128e-20,-4.87890977618477e-19,-5.25160427297666e-20,-7.45388993583784e-20,-3.89635155736978e-20,4.87890977618477e-19,661.072560056182,277.862458004096,-699.691885083179,309.267431859152,7.2143511719412,1.19403701101338,0.389143438149826,0.00790419458082121,5.90074621216773e-157
cegr0608_009,cegr_0608_txt,ok,,38,0.1,0.05314808853,0.791,0.795787130826891,0.00478713082689142,49.7,0.001071035,39.7,41.36,34.68,6.68,52.69,0.492,22.1114798205839,144.865513421022,136.005,137.164356513662,152.287449450634,60.601890824917,0.152634531838654,0.768998494830474,28.1755212274987,0.197466595840479,0.492136229091654,6.2438607123772,6.54460913386775,5.94311229088665,-1.41594462753807e-05,0.0026797142791819,0.00346562450766801,0.00440742480128601,0.0057000403086645,-0.0012927116843551,4.827580305946e-05,6.24341958805014e-05,-1.41583928210414e-05,-1.05345433926783e-09,0.00106324346975121,0.001071035,0,4.7414552281764,0,0,0,0,20.5075011783245,20.5075011783245,2.04762926159287e-05,1.47270233948038e-05,-8.13151629364128e-20,-3.25260651745651e-19,-5.0821976835258e-20,6.7762635780344e-21,2.71050543121376e-20,3.25260651745651e-19,783.638471358585,278.59342445725,-834.710435597001,320.413882870367,9.25150582529889,1.19314248825646,0.389424073443835,0.00793128398572985,5.90074621216773e-157
cegr0608_010,cegr_0608_txt,ok,,38,0.1,0.1952558824,0.79,0.796024993617288,0.00602499361728748,61.2,0.00131886,39.9,40.96,33.08,7.88,53.22,0.504,22.5678266075154,145.341882604154,134.405,137.715870553573,152.08636397557,60.6562313659817,0.155274076564565,0.731758635365511,27.3026040681263,0.191886734849958,0.523183908559971,5.57999626816664,5.84337267047451,5.31661986585878,-1.28182628259505e-05,0.00232710515335729,0.00303855424989191,0.00382747558117975,0.00499762212153275,-0.00117026596986719,4.19234509271745e-05,5.47404056069928e-05,-1.28169546798183e-05,-1.30814613214815e-09,0.00131240881711662,0.00131886,2.16840434497101e-19,5.68722474076866,0,0,0,0,20.5589297455332,20.5589297455332,1.95303823687778e-05,1.39918561345027e-05,-2.03287907341032e-19,0,-4.57397791517322e-20,2.03287907341032e-20,-5.59041745187838e-20,2.03287907341032e-19,736.179529824824,278.448803880689,-789.264109633528,320.903137575716,10.6302461136776,1.1934100539,0.389436391457698,0.00794866882501777,5.90074621216773e-157
