case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
cegr0608_015,cegr_0608_txt,30,0.1,20,0.4261,ok,,200,0.000432861669918749,-1.77386618818081e-05,0.0296224908049529,0.00480459156920876,6.73364156380071
cegr0608_016,cegr_0608_txt,30,0.1,20,0,ok,,200,0.000418319514836487,-1.7290021299951e-05,0.0592180672850358,0.008586785078327,6.80885443740871
initial_noegr_01,initial_noegr_steady_xlsx,60,0.1,38,0,ok,,200,0.000128305557414614,-1.87777357779073e-05,0.623673287064017,0.0233544943509746,1.05692497311152
initial_noegr_02,initial_noegr_steady_xlsx,60,0.1,76,0,ok,,0,1.2430071797393e-07,-1.80528263158534e-05,1.19181512916421,0.0465879930547324,0.159023718410094
initial_noegr_03,initial_noegr_steady_xlsx,60,0.1,114,0,ok,,0,2.06660471378253e-07,-2.0084733784881e-05,0.897393489536938,0.0308418303415255,0.117948255261792
initial_noegr_04,initial_noegr_steady_xlsx,60,0.1,152,0,ok,,0,2.80757799882219e-07,-2.16873548699336e-05,0.713844833803661,0.0236344478475716,0.0955197749525643
initial_noegr_05,initial_noegr_steady_xlsx,60,0.1,228,0,ok,,0,5.30173674006718e-07,-2.11102618504622e-05,0.655719372630779,0.0221543075179055,0.0619853511639749
initial_noegr_06,initial_noegr_steady_xlsx,60,0.1,266,0,ok,,0,5.78534597807596e-07,-1.14180987553889e-05,0.671021061081113,0.0221800643126133,0.0287370676873869
initial_noegr_07,initial_noegr_steady_xlsx,60,0.1,342,0,ok,,0,7.25737878604551e-07,-2.28603149573724e-06,0.638464059410211,0.0211689845360414,0.00447493154558153
initial_noegr_08,initial_noegr_steady_xlsx,60,0.1,418,0,ok,,0,9.64739609137109e-07,-7.14939463159502e-07,0.583167346550146,0.0198364320235496,0.00114504691429245
initial_noegr_09,initial_noegr_steady_xlsx,60,0.1,494,0,ok,,0,1.37331916375205e-06,8.98678246443148e-07,0.594705436388171,0.0211537518333481,0.00121788862141217
initial_noegr_10,initial_noegr_steady_xlsx,60,0.1,570,0,ok,,0,1.82561557543585e-06,3.18011883599243e-06,0.570313171638309,0.0210170227030433,0.00373507034992739
initial_noegr_11,initial_noegr_steady_xlsx,60,0.1,646,0,ok,,0,2.32016530788372e-06,5.83386208098034e-06,0.554144552687767,0.0210997922833291,0.00604580217281186
initial_noegr_12,initial_noegr_steady_xlsx,60,0.1,684,0,ok,,0,2.50274655901453e-06,7.62633729957003e-06,0.528153970032415,0.0203648937911132,0.00746431915367923
initial_noegr_13,initial_noegr_steady_xlsx,60,0.1,722,0,ok,,0,2.71913925223993e-06,9.36463654997136e-06,0.509072642202929,0.0198335305894936,0.00868328432451456
cegr0608_001,cegr_0608_txt,60,0.1,38,0,ok,,200,0.000456065379474885,-2.2870660420784e-05,0.0623978149882145,0.0112742080668551,3.86893933649163
cegr0608_002,cegr_0608_txt,60,0.1,38,0.0536594306,ok,,200,0.000469770815553361,-2.1336600850301e-05,0.0689488424272691,0.0127445138905088,3.95348367577253
cegr0608_003,cegr_0608_txt,60,0.1,38,0.2858217391,ok,,200,0.000465876108074099,-2.09162466446178e-05,0.0698790235818914,0.0131044777982803,3.88658796854855
cegr0608_004,cegr_0608_txt,60,0.1,38,0.3707279438,ok,,200,0.000458705306631837,-2.52877806866717e-05,0.0590466200952919,0.0105977643702644,3.95293166169037
cegr0608_005,cegr_0608_txt,60,0.1,38,0.4680959866,ok,,200,0.000453100997438813,-2.51714536494635e-05,0.0538605527585743,0.00924193232491299,3.95498249438535
cegr0608_006,cegr_0608_txt,60,0.1,38,0.5478621762,ok,,200,0.000443676029486023,-2.20587717992902e-05,0.056298331026273,0.00895670996654607,3.86945327560724
cegr0608_007,cegr_0608_txt,60,0.1,38,0.6205626263,ok,,200,0.000387624977439348,-1.24573823787527e-05,0.254783488963871,0.033310369609414,2.97819094930001
cegr0608_008,cegr_0608_txt,60,0.1,38,0,ok,,200,0.000469170375123806,-2.88693658493913e-05,0.062009663402085,0.0118920078741832,4.03848698275386
cegr0608_009,cegr_0608_txt,60,0.1,38,0.05314808853,ok,,200,0.00048430294436616,-2.34738933236891e-05,0.0699233347455364,0.0130373405437221,4.13456178160675
cegr0608_010,cegr_0608_txt,60,0.1,38,0.1952558824,ok,,200,0.000479040275186138,-1.78411073931398e-05,0.0742779369393229,0.0132243663524904,4.02726448678955
