case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
cegr0608_002,cegr_0608_txt,10,0.2,38,0.0536594306,ok,,200,0.000472479968925392,-3.15369677411884e-05,0.00846584711013465,0.00213342184558563,4.13319458222668
cegr0608_003,cegr_0608_txt,10,0.2,38,0.2858217391,ok,,200,0.000464952331387272,-3.14481775748205e-05,0.00739546656606471,0.00186580981301704,4.07216472261453
cegr0608_004,cegr_0608_txt,10,0.2,38,0.3707279438,ok,,200,0.000469070633117298,-3.645744189822e-05,0.00743156262605016,0.00182522359882009,4.1150062826328
cegr0608_005,cegr_0608_txt,10,0.2,38,0.4680959866,ok,,200,0.000471899853796883,-3.76884072560419e-05,0.00759046708144506,0.00184122751188454,4.1407525357844
cegr0608_006,cegr_0608_txt,10,0.2,38,0.5478621762,ok,,200,0.000478077507446603,-3.99766358875667e-05,0.00787660664642109,0.00186677128992485,4.19506166858784
cegr0608_007,cegr_0608_txt,10,0.2,38,0.6205626263,ok,,200,0.000481225316183954,-4.14197305059071e-05,0.00803605567490573,0.00187619672312628,4.2234058375225
cegr0608_008,cegr_0608_txt,10,0.2,38,0,ok,,200,0.000474858281669974,-3.56347100084142e-05,0.00722161559313017,0.00174767938575687,4.15767764965925
cegr0608_009,cegr_0608_txt,10,0.2,38,0.05314808853,ok,,200,0.000491051226985742,-3.26151267563715e-05,0.00802070465727756,0.00200359451709986,4.29561206715136
cegr0608_010,cegr_0608_txt,10,0.2,38,0.1952558824,ok,,200,0.000485455574448176,-2.93508014528624e-05,0.00792574875637442,0.00204021756819622,4.24889084695943
cegr0608_011,cegr_0608_txt,10,0.2,38,0.2190877358,ok,,200,0.000484325081177096,-2.86767130337903e-05,0.00787946193887379,0.00204059134266427,4.23946873120515
cegr0608_012,cegr_0608_txt,10,0.2,38,0.2303416667,ok,,200,0.000484933790093812,-2.87312670559061e-05,0.00777029245620042,0.0020114819762766,4.24560329723572
cegr0608_013,cegr_0608_txt,10,0.2,38,0,ok,,200,0.000502808927375688,-3.89398672881179e-05,0.00808838082684193,0.00189992168944936,4.39561773356038
cegr0608_014,cegr_0608_txt,10,0.2,38,0.1489428571,ok,,200,0.000502412096602772,-3.91993378922548e-05,0.00852353133293349,0.00199585075262815,4.39071956704582
cegr0608_015,cegr_0608_txt,10,0.2,20,0.4261,ok,,200,0.000426243066130545,-2.29421393571785e-05,0.0079947279392889,0.00199585456037371,7.07497715750173
cegr0608_016,cegr_0608_txt,10,0.2,20,0,ok,,200,0.000453512493490232,-2.62683966736827e-05,0.00824096497356441,0.00212795045986103,7.21681840952447
