case_id,source_dataset,module,variable,unit,current_A,egr_fraction,initial_value,final_value,delta_value,last_window_mean,last_window_min,last_window_max,last_window_std,last_window_range,last_window_abs_slope_per_s,sign_changes_total,sign_changes_last_window,converged_by_range,message
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mH2Ov_kg_s,kg/s,38,0,1.50870234922261e-05,0.000103871710344803,8.8784686852577e-05,7.17460996151321e-05,1.59426927570589e-05,0.000103871710344803,3.96462884981953e-05,8.79290175877443e-05,4.39645087938721e-06,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mLiquid_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,T_C,degC,38,0,62.7340196531863,64.2637973720327,1.52977771884641,64.2046983951044,64.1377589826756,64.2637973720327,0.0366167206562445,0.126038389357063,0.00630191946785317,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,p_kPa_abs,kPa,38,0,133.825,133.825,0,133.825,133.825,133.825,1.13970700429965e-13,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,liquid_flag,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mO2_state_kg,kg,38,0,3.8633149057881e-05,4.30499700373648e-05,4.41682097948381e-06,3.99713668043198e-05,3.60504284733662e-05,4.30919175665459e-05,2.9191876133287e-06,7.04148909317972e-06,3.47579003282417e-07,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mN2_state_kg,kg,38,0,0.000195853711523924,0.00020503661952522,9.18290800129641e-06,0.000201228486380014,0.000194470507942582,0.000205244872955036,4.73474660651028e-06,1.07743650124545e-05,5.16229360611242e-07,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mH2Ov_ca_state_kg,kg,38,0,2.56465438853133e-05,2.73960167277469e-05,1.7494728424336e-06,2.73266582015457e-05,2.72482154692889e-05,2.73960167277469e-05,4.29416284088721e-08,1.47801258457994e-07,7.39006292289969e-09,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mH2_state_kg,kg,38,0,1.47956108853008e-05,1.46409814730662e-05,-1.54629412234563e-07,1.46473427727522e-05,1.46409814730662e-05,1.46545438152774e-05,3.94006375503753e-09,1.35623422111231e-08,6.78117110556156e-10,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,mH2Ov_an_state_kg,kg,38,0,1.70971930890297e-05,1.80902949330656e-05,9.93101844035899e-07,1.80469088705516e-05,1.79978354345269e-05,1.80902949330656e-05,2.68617198538013e-08,9.24594985386433e-08,4.62297492693216e-09,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,T_state_C,degC,38,0,59.7340196531863,61.2637973720327,1.52977771884642,61.2046983951044,61.1377589826756,61.2637973720327,0.0366167206562445,0.126038389357063,0.00630191946785317,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,stack_state,a_memb_state,1,38,0,0.89409366689809,0.940279345936604,0.0461856790385143,0.940348656118021,0.940279345936604,0.940424588133836,4.23357182042432e-05,0.000145242197232109,7.26210986160547e-06,0,0,1,
