case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error
bench_152A,4,152,0.1,0.742468676642808,1805.68382159531,14.9308690673714,159.502306863878,66.57396873215,85.6794627180672,1244.04417840469,779.202183234499,374.164005000096,4.99852745202957,1.85916412679982,0.00208173,0.000165924255606526,0.00149331830045873,0.000165924255606526,0.1,3000,87.8954259383517,28.2104574061648,1.1970415662407,60.0362048596845,0,143.170083066148,64.2601995940304,171.380540472313,92.9562923982452,63.8,171.380540472313,0.183378033897614,31.4274265601232,0.649425921781723,69.57396873215,0,6,65.9,69.3,1421.2,1156.13996030471,0.7338,0.00866867664280802
bench_152A,4,152,0.2,0.741721470014559,1803.86661507541,13.5502771706993,159.252778955103,66.5753991874004,85.7562500495504,1245.86138492459,780.856259711974,374.176877561602,5.07199760146613,1.79166227437948,0.00208173,0.000336705678510949,0.0013468227140438,0.000336705678510949,0.2,3000,88.3814884159976,28.1618511584003,1.19670206620882,60.023254978372,0,143.170083066148,64.7341020549725,171.331934224548,93.424005077591,63.8,171.331934224548,0.173067534967518,29.6519955174595,0.702079663141539,69.5753991874004,0,6,65.9,69.3,1421.2,1156.14036006988,0.7338,0.00792147001455901
bench_152A,4,152,0.3,0.740659877910967,1801.28482307947,11.7848569898897,158.97550152605,66.5774483496522,85.8675389772799,1248.44317692053,783.225761546474,374.19531779609,5.15455860068378,1.70021642062808,0.00208173,0.000513153001023361,0.00119735700238784,0.000513153001023361,0.3,3000,88.9221132602124,28.1077886739788,1.19632445600379,60.0019311343777,0,143.170083066148,65.2241140435361,171.277871740127,93.9038246996045,63.8,171.277871740127,0.16050642264097,27.4911984705667,0.758588775241599,69.5774483496522,0,6,65.9,69.3,1421.2,1156.14092491125,0.7338,0.00685987791096698
bench_152A,4,152,0.4,0.738984161283411,1797.20948024126,9.42948343359997,158.663106481585,66.5807103083239,86.0469676387817,1252.51851975874,786.997646899981,374.224671835562,5.24923338441806,1.57098858988595,0.00208173,0.000696325409332639,0.00104448811399896,0.000696325409332639,0.4,3000,89.5384354157598,28.046156458424,1.19589397350189,59.9685046567061,0,143.170083066148,65.7335490993442,171.216239524572,94.3972825745162,63.8,171.216239524572,0.144561153384307,24.7512170637959,0.819800662698377,69.5807103083239,0,6,65.9,69.3,1421.2,1156.14180845566,0.7338,0.00518416128341137
bench_228A,5,228,0,0.715778158270918,2611.15872137231,15.6937003548317,176.220572946077,71.3335086478326,345.576109150201,1963.43327862769,1194.33019592785,416.99466630831,6.53230724133241,1.71617551201797,0.00259462,0,0.00220820851435581,0,0,3000,96.8417079333825,27.3158292066617,1.16655062076176,64.6764880032153,0,164.009170795802,68.6,191.325000002464,93.403136656258,68.6,191.325000002464,0.190210890008487,36.3920985313425,0.600000000007727,74.3335086478326,0,6,70.3,75.5,2173.6,1155.6073560028,0.7102,0.00557815827091745
bench_228A,5,228,0.1,0.714981306533295,2608.25180623346,14.2016722580415,175.871509332466,71.3358037643742,345.695726891435,1966.34019376654,1196.98411429559,417.01531996483,6.64503261468441,1.65928548062473,0.00259462,0.00022454990984027,0.00202094918856243,0.00022454990984027,0.1,3000,97.4300355582565,27.2569964441743,1.16619190446436,64.6382514852183,0,164.009170795802,69.096338138772,191.266167239977,93.8848112656638,68.6,191.266167239977,0.179609418792478,34.3532051326372,0.655674966926865,74.3358037643742,0,6,70.3,75.5,2173.6,1155.6089632661,0.7102,0.004781306533295
bench_228A,5,228,0.2,0.713858077658659,2604.15426729879,12.3051150200891,175.479140035908,71.339058979992,345.87103475351,1970.43773270121,1200.74821212213,417.044613399233,6.77387242633988,1.58227898304396,0.00259462,0.000457500560029235,0.00183000224011694,0.000457500560029235,0.2,3000,98.0854777038654,27.1914522296135,1.165792266967,64.5881051539171,0,164.009170795802,69.6118185604023,191.200623025416,94.3810607991232,68.6,191.200623025416,0.166843626396768,31.9006053148817,0.71596887245008,74.339058979992,0,6,70.3,75.5,2173.6,1155.61121672941,0.7102,0.00365807765865922
bench_228A,5,228,0.3,0.712096363850674,2597.72753532726,9.79011206515255,175.030717762377,71.3441998677461,346.155731872282,1976.86446467274,1206.69274579636,417.090875695077,6.92511130902157,1.47345264850298,0.00259462,0.000700658306203237,0.00163486938114089,0.000700658306203237,0.3,3000,98.8334065884914,27.1166593411509,1.16533623826995,64.521076744837,0,164.009170795802,70.1509791719599,191.125830136953,94.8945163230733,68.6,191.125830136953,0.150850263434654,28.8313818253264,0.782053434243645,74.3441998677461,0,6,70.3,75.5,2173.6,1155.61472766799,0.7102,0.0018963638506736
bench_228A,5,228,0.4,0.70866205265334,2585.19916807939,6.22509659953423,174.468274141089,71.35445576029,346.558204591883,1989.39283192061,1218.55230933525,417.183170678518,7.09914731495907,1.30822446609067,0.00259462,0.000954677049835136,0.0014320155747527,0.000954677049835136,0.4,3000,99.7148528042256,27.0285147195774,1.16479880111844,64.4283480798543,0,164.009170795802,70.7170367485256,191.03768551538,95.4250128817092,68.6,191.03768551538,0.129707116696033,24.7789473684835,0.855413967763457,74.35445576029,0,6,70.3,75.5,2173.6,1155.62203292445,0.7102,-0.00153794734665957
bench_266A,6,266,0,0.701990270419184,2987.67059090405,15.7175998846058,184.319407170932,74.3989051619061,513.663161282309,2349.35340909595,1385.17377996359,444.579873193929,5.93659465612086,1.6661348776395,0.002868305,0,0.0025160156776436,0,0,3000,102.064156716496,26.7935843283504,1.15351725776645,66.8741025527044,0,174.531415673878,72.2,201.325000002229,95.3988563192653,72.2,201.325000002229,0.188089639653802,37.8671467037208,0.600000000006642,77.3989051619061,0,6,73.2,79.2,2508,1155.36559852775,0.7012,0.000790270419183892
