case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error,condition_target,pO2_ca_in_noEGR_kPa,pO2_ca_in_ratio_target,pO2_ca_in_target_kPa,pO2_ca_in_ratio_actual,pO2_ca_in_ratio_error,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
bench_114A,3,114,0.25,0.756349586692667,1379.58164612742,14.3632401391238,150.214857110991,64.876848296066,-6.69235210071163,907.714353872576,551.476358306339,358.891768511636,4.03857915531218,2.02780856804481,0.00194381,0.000361270197265803,0.00108381059179741,0.000361270197265803,0.25,3000,88.4195412484113,28.1580458751589,1.21160426196251,59.7679570958631,0,133.069370219716,63.3364975095046,161.227416094875,93.9313622727714,62.3,161.227416094875,0.172577361858621,27.8242021289357,0.704973897424977,67.876848296066,0,6,64.4,66.3,794.199999999996,1156.50273442513,0.7504,0.00594958669266699,pO2_ca_in_ratio,31.0111539834983,0.9,27.9100385851484,0.897232077972385,-0.00276792202761533,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.35,0.755573042404081,1378.16522934504,12.9497099739841,150.004754490083,64.8779661071486,-6.63003761522541,909.130770654956,552.768909419358,358.90182756509,4.09007128573293,1.93928251015048,0.00194381,0.00051219814222283,0.00095122512127097,0.00051219814222283,0.35,3000,88.8739149951474,28.1126085004853,1.21126280566345,59.7546164704562,0,133.069370219716,63.7698098668868,161.181978720201,94.3578456426825,62.3,161.181978720201,0.161988834877063,26.1096809360649,0.751363700271919,67.8779661071486,0,6,64.4,66.3,794.199999999996,1156.50231502185,0.7504,0.00517304240408123,pO2_ca_in_ratio,31.0111539834983,0.85,26.3594808859735,0.841944835395629,-0.00805516460437106,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.4,0.755064480098901,1377.2376117004,12.0955762397597,149.891760269083,64.8787029211634,-6.58889324212482,910.058388299604,553.620904528997,358.908458068335,4.11791894439632,1.88374103483255,0.00194381,0.000589303545470357,0.000883955318205536,0.000589303545470357,0.4,3000,89.1206143704383,28.0879385629562,1.21107741410799,59.744826691023,0,133.069370219716,63.9912958063782,161.157308782672,94.574320251816,62.3,161.157308782672,0.155785977071057,25.1060488108506,0.775713911191161,67.8787029211634,0,6,64.4,66.3,794.199999999996,1156.50203926794,0.7504,0.0046644800989013,pO2_ca_in_ratio,31.0111539834983,0.8,24.8089231867986,0.809581250159544,0.00958125015954348,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.5,0.753628679953735,1374.61871223561,9.96521690042039,149.646709138722,64.8807973839624,-6.47162037361198,912.677287764388,556.042779558042,358.927305888069,4.17882269188822,1.73970036330837,0.00194381,0.000747231108846693,0.000747231108846693,0.000747231108846693,0.5,3000,89.665781821991,28.0334218178009,1.21066772745309,59.7166842891402,0,133.069370219716,64.4453515404864,161.102792037517,95.0139700563668,62.3,161.102792037517,0.140810079770612,22.6848969980711,0.827086352399323,67.8807973839624,0,6,64.4,66.3,794.199999999996,1156.50125833778,0.7504,0.00322867995373477,pO2_ca_in_ratio,31.0111539834983,0.75,23.2583654876237,0.731507670115799,-0.0184923298842015,review,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.5,0.753628679953735,1374.61871223561,9.96521690042039,149.646709138722,64.8807973839624,-6.47162037361198,912.677287764388,556.042779558042,358.927305888069,4.17882269188822,1.73970036330837,0.00194381,0.000747231108846693,0.000747231108846693,0.000747231108846693,0.5,3000,89.665781821991,28.0334218178009,1.21066772745309,59.7166842891402,0,133.069370219716,64.4453515404864,161.102792037517,95.0139700563668,62.3,161.102792037517,0.140810079770612,22.6848969980711,0.827086352399323,67.8807973839624,0,6,64.4,66.3,794.199999999996,1156.50125833778,0.7504,0.00322867995373477,pO2_ca_in_ratio,31.0111539834983,0.7,21.7078077884488,0.731507670115799,0.0315076701157986,review,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_152A,4,152,0.1,0.742468676642808,1805.68382159531,14.9308690673714,159.502306863878,66.57396873215,85.6794627180672,1244.04417840469,779.202183234499,374.164005000096,4.99852745202957,1.85916412679982,0.00208173,0.000165924255606526,0.00149331830045873,0.000165924255606526,0.1,3000,87.8954259383517,28.2104574061648,1.1970415662407,60.0362048596845,0,143.170083066148,64.2601995940304,171.380540472313,92.9562923982452,63.8,171.380540472313,0.183378033897614,31.4274265601232,0.649425921781723,69.57396873215,0,6,65.9,69.3,1421.2,1156.13996030471,0.7338,0.00866867664280802,pO2_ca_in_ratio,32.9310350905214,0.95,31.2844833359953,0.954340684212778,0.00434068421277822,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_152A,4,152,0.2,0.741721470014559,1803.86661507541,13.5502771706993,159.252778955103,66.5753991874004,85.7562500495504,1245.86138492459,780.856259711974,374.176877561602,5.07199760146613,1.79166227437948,0.00208173,0.000336705678510949,0.0013468227140438,0.000336705678510949,0.2,3000,88.3814884159976,28.1618511584003,1.19670206620882,60.023254978372,0,143.170083066148,64.7341020549725,171.331934224548,93.424005077591,63.8,171.331934224548,0.173067534967518,29.6519955174595,0.702079663141539,69.5753991874004,0,6,65.9,69.3,1421.2,1156.14036006988,0.7338,0.00792147001455901,pO2_ca_in_ratio,32.9310350905214,0.9,29.6379315814692,0.900427072393918,0.000427072393918038,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_152A,4,152,0.3,0.740659877910967,1801.28482307947,11.7848569898897,158.97550152605,66.5774483496522,85.8675389772799,1248.44317692053,783.225761546474,374.19531779609,5.15455860068378,1.70021642062808,0.00208173,0.000513153001023361,0.00119735700238784,0.000513153001023361,0.3,3000,88.9221132602124,28.1077886739788,1.19632445600379,60.0019311343777,0,143.170083066148,65.2241140435361,171.277871740127,93.9038246996045,63.8,171.277871740127,0.16050642264097,27.4911984705667,0.758588775241599,69.5774483496522,0,6,65.9,69.3,1421.2,1156.14092491125,0.7338,0.00685987791096698,pO2_ca_in_ratio,32.9310350905214,0.85,27.9913798269432,0.834811247050036,-0.0151887529499637,review,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_152A,4,152,0.35,0.739931145006587,1799.51254465602,10.6990933209152,158.824269723077,66.578863550433,85.945091698744,1250.21545534398,784.862194771339,374.208053052063,5.20011582183499,1.64156453449493,0.00208173,0.000603819883697054,0.00112137978400881,0.000603819883697054,0.35,3000,89.2190046232015,28.0780995376799,1.1961170863099,59.987053827342,0,143.170083066148,65.4761452191288,171.248182603828,94.1487448230517,63.8,171.248182603828,0.153056704415331,26.2106824664567,0.788542527443911,69.578863550433,0,6,65.9,69.3,1421.2,1156.14131038673,0.7338,0.00613114500658696,pO2_ca_in_ratio,32.9310350905214,0.8,26.3448280724171,0.795926468585282,-0.00407353141471811,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
bench_152A,4,152,0.4,0.738984161283411,1797.20948024126,9.42948343359997,158.663106481585,66.5807103083239,86.0469676387817,1252.51851975874,786.997646899981,374.224671835562,5.24923338441806,1.57098858988595,0.00208173,0.000696325409332639,0.00104448811399896,0.000696325409332639,0.4,3000,89.5384354157598,28.046156458424,1.19589397350189,59.9685046567061,0,143.170083066148,65.7335490993442,171.216239524572,94.3972825745162,63.8,171.216239524572,0.144561153384307,24.7512170637959,0.819800662698377,69.5807103083239,0,6,65.9,69.3,1421.2,1156.14180845566,0.7338,0.00518416128341137,pO2_ca_in_ratio,32.9310350905214,0.75,24.698276317891,0.751607624715084,0.00160762471508435,good,constant_pO2_ratio_lookup,1,1,1,1,1,1,ok
