case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error,condition_target,V_cell_target,V_cell_target_error,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
bench_038A,1,38,0.5,0.794546641511257,483.084358038844,14.8788811756857,136.025453113402,61.7080910738661,-178.711280750974,279.347641961156,125.462998644044,330.37639389041,2.21953017767554,2.79370833094453,0.001071035,0.00035814683329336,0.00035814683329336,0.00035814683329336,0.5,3000,57.8855481857766,29,1.25817939016247,39.3250734122468,1,112.325,60.8423117620992,141.325,97.3765298603336,58.9,141.325,0.159611105411227,22.5570394722417,0.897571078599509,64.7080910738661,0,5.5,61.6,60.6,-383.166666666667,1160.71562763289,0.8017,-0.00715335848874332,V_cell,0.8,-0.0054533584887434,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_152A,4,152,0,0.74303041406939,1807.04996701676,16.0454517865857,159.729309196117,66.5729018811831,85.6228113017185,1242.67803298324,777.96855124297,374.154404474422,4.93226596413298,1.91058396562394,0.00208173,0,0.00163718308375014,0,0,3000,87.4508306362743,28.2549169363726,1.19735210269675,60.0430311917013,0,143.170083066148,63.8,171.42500000252,92.4993556529828,63.8,171.42500000252,0.192101706810776,32.9310350905214,0.600000000008821,69.5729018811831,0,6,65.9,69.3,1421.2,1156.13965869008,0.7338,0.00923041406938985,V_cell,0.75,-0.00696958593061014,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_152A,4,152,0.05,0.742767707817978,1806.41106541332,15.5160380437637,159.618357319061,66.5733997788133,85.6491768321695,1243.31693458668,778.544285498187,374.158885025783,4.96458723053829,1.88653339534896,0.00208173,8.23979552383625e-05,0.00156556114952889,8.23979552383625e-05,0.05,3000,87.6685651759087,28.2331434824091,1.19720002166489,60.0402788365126,0,143.170083066148,64.0285125265716,171.403226548557,92.7265526093896,63.8,171.403226548557,0.187907970778899,32.2080324856952,0.62434227461738,69.5733997788133,0,6,65.9,69.3,1421.2,1156.13979985293,0.7338,0.00896770781797784,V_cell,0.75,-0.00723229218202215,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.1,0.75715310481623,1381.0472631848,15.9713009583899,150.497228631937,64.8757041745179,-6.75601442604106,906.248736815196,550.153383480742,358.88147269095,3.96989506954518,2.12227802883517,0.00194381,0.0001420393305776,0.0012783539751984,0.0001420393305776,0.1,3000,87.8118341299766,28.2188165870023,1.2120609464102,59.776593374468,0,133.069370219716,62.7074324758138,161.288186806718,93.3067180991671,62.3,161.288186806718,0.185254995329581,29.8794422935952,0.640324997347501,67.8757041745179,0,6,64.4,66.3,794.199999999996,1156.503165099,0.7504,0.00675310481623037,V_cell,0.75,0.00715310481623033,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.15,0.75691986706506,1380.62183752667,15.4890245589683,150.406965391548,64.8760346868246,-6.73763483186739,906.674162473331,550.535562712235,358.884446934118,3.99178765884492,2.09473824383133,0.00194381,0.00021424260265511,0.00121404141504562,0.00021424260265511,0.15,3000,88.0061515983024,28.1993848401698,1.21191491921551,59.7749518301897,0,133.069370219716,62.9145802545664,161.268755059886,93.5130255810845,62.3,161.268755059886,0.18136932040747,29.2492045081702,0.661280540853548,67.8760346868246,0,6,64.4,66.3,794.199999999996,1156.50304053378,0.7504,0.0065198670650598,V_cell,0.75,0.00691986706505976,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.2,0.756654627243888,1380.13804009285,14.9560181576702,150.312955748338,64.8764122037974,-6.71663066709297,907.157959907148,550.97209452822,358.88784416679,4.01465187923097,2.06348688270163,0.00194381,0.000287300872336593,0.00114920348934637,0.000287300872336593,0.2,3000,88.2083818236306,28.179161817637,1.21176294568096,59.7721317413779,0,133.069370219716,63.1242123394823,161.248532037353,93.7212140791687,62.3,161.248532037353,0.177161555559153,28.5670407673673,0.682815578953494,67.8764122037974,0,6,64.4,66.3,794.199999999996,1156.50289840707,0.7504,0.00625462724388803,V_cell,0.75,0.00665462724388799,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.25,0.756349586692667,1379.58164612742,14.3632401391238,150.214857110991,64.876848296066,-6.69235210071163,907.714353872576,551.476358306339,358.891768511636,4.03857915531218,2.02780856804481,0.00194381,0.000361270197265803,0.00108381059179741,0.000361270197265803,0.25,3000,88.4195412484113,28.1580458751589,1.21160426196251,59.7679570958631,0,133.069370219716,63.3364975095046,161.227416094875,93.9313622727714,62.3,161.227416094875,0.172577361858621,27.8242021289357,0.704973897424977,67.876848296066,0,6,64.4,66.3,794.199999999996,1156.50273442513,0.7504,0.00594958669266699,V_cell,0.75,0.00634958669266694,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.3,0.755994074057284,1378.93319108049,13.6993129690906,150.112275534421,64.8773588100721,-6.6639077736588,908.362808919513,552.066677637412,358.896362568804,4.06367648695576,1.98679615955686,0.00194381,0.00043621283719089,0.00101782995344541,0.00043621283719089,0.3,3000,88.6408720274034,28.1359127972597,1.21143793459609,59.7622099586105,0,133.069370219716,63.5516252611586,161.205283016976,94.1435480987589,62.3,161.205283016976,0.167548649312837,27.0097274315878,0.727804732789077,67.8773588100721,0,6,64.4,66.3,794.199999999996,1156.50254271839,0.7504,0.0055940740572844,V_cell,0.75,0.00599407405728436,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.35,0.755573042404081,1378.16522934504,12.9497099739841,150.004754490083,64.8779661071486,-6.63003761522541,909.130770654956,552.768909419358,358.90182756509,4.09007128573293,1.93928251015048,0.00194381,0.00051219814222283,0.00095122512127097,0.00051219814222283,0.35,3000,88.8739149951474,28.1126085004853,1.21126280566345,59.7546164704562,0,133.069370219716,63.7698098668868,161.181978720201,94.3578456426825,62.3,161.181978720201,0.161988834877063,26.1096809360649,0.751363700271919,67.8779661071486,0,6,64.4,66.3,794.199999999996,1156.50231502185,0.7504,0.00517304240408123,V_cell,0.75,0.00557304240408119,good,constant_voltage_lookup,1,1,1,1,1,1,ok
bench_114A,3,114,0.4,0.755064480098901,1377.2376117004,12.0955762397597,149.891760269083,64.8787029211634,-6.58889324212482,910.058388299604,553.620904528997,358.908458068335,4.11791894439632,1.88374103483255,0.00194381,0.000589303545470357,0.000883955318205536,0.000589303545470357,0.4,3000,89.1206143704383,28.0879385629562,1.21107741410799,59.744826691023,0,133.069370219716,63.9912958063782,161.157308782672,94.574320251816,62.3,161.157308782672,0.155785977071057,25.1060488108506,0.775713911191161,67.8787029211634,0,6,64.4,66.3,794.199999999996,1156.50203926794,0.7504,0.0046644800989013,V_cell,0.75,0.00506448009890126,good,constant_voltage_lookup,1,1,1,1,1,1,ok
