condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,V_cell_target,V_cell_target_error,current_density_solved_A_cm2,air_flow_control,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
constant_voltage_fixed_flow,j0.08_boundary_038A,1,38,0.1,30.4,0.08,0.5,1,49.7,0.801028425516653,389.6202261713,16.6728927284035,136.443046002836,61.6598386893652,-181.298204051403,220.3253738287,69.6673725827369,329.942174168367,2.01403112899898,3.33522620546285,0.001071035,0.00033293334948993,0.00033293334948993,0.00033293334948993,0.5,3000,57.7659877245216,29,1.25817939016247,39.307207567427,1,112.325,60.6905751143276,141.325,97.2081952862387,58.9,141.325,0.165746047161596,23.4240601151126,0.882753743592532,64.6598386893652,0,5.5,61.6,60.6,1164.25298284207,V_cell,0.8,0.00102842551665305,0.08,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0,1,71.8,0.775515969254763,895.876047683102,18.0509909961332,149.054234248741,63.4492390672757,-84.2521853586918,552.744752316898,288.453195210946,346.044836649189,2.49890581545469,2.47726078382389,0.00154729,0,0.00102314486319333,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.4492390672757,0,6,63.2,64.6,1157.33539835403,V_cell,0.775,0.000515969254763049,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.05,1,71.8,0.775391538049167,895.732304754398,17.7515957055658,149.010892228589,63.4493454746765,-84.2452585018524,552.888495245602,288.576234021535,346.045794177259,2.51172554866119,2.46055039306116,0.00154729,5.1425524866525e-05,0.000977084972463975,5.1425524866525e-05,0.05,3000,72.6445898296585,29,1.22794262134015,50.6969375321257,1,127.225,61.3744724261167,156.225,93.9764500530089,61.2,156.225,0.18987218595281,29.6627822504778,0.616032599725422,66.4493454746765,0,6,63.2,64.6,1157.33495623253,V_cell,0.775,0.000391538049167028,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.1,1,71.8,0.77525420881472,895.573662022765,17.4262941770583,148.966144224944,63.4494636992028,-84.2376289922486,553.047137977235,288.712937138047,346.046858045405,2.52497178603211,2.44170687323769,0.00154729,0.000103405030022114,0.000930645270199028,0.000103405030022114,0.1,3000,72.7697994235659,29,1.22794262134015,50.7236647368262,1,127.225,61.5508322712488,156.225,94.1699975187764,61.2,156.225,0.187032913325562,29.219216884286,0.63238111430259,66.4494636992028,0,6,63.2,64.6,1157.33446613963,V_cell,0.775,0.00025420881472038,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.15,1,71.8,0.775101717391944,895.397503931174,17.0713780314211,148.919896032345,63.4495958533569,-84.2291732718368,553.223296068826,288.865747281612,346.048047263678,2.53867479537279,2.42039209243654,0.00154729,0.000155966391422321,0.000883809551393153,0.000155966391422321,0.15,3000,72.8989592272627,29,1.22794262134015,50.7506925441582,1,127.225,61.7291756471747,156.225,94.3657218256389,61.2,156.225,0.183998031040436,28.7450923992921,0.649064074553656,66.4495958533569,0,6,63.2,64.6,1157.33391960055,V_cell,0.775,0.000101717391944312,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.2,1,71.8,0.774931221701878,895.200547310009,16.6823808371283,148.872043460338,63.4497445922121,-84.2197360516736,553.420252689991,289.037734556689,346.04938572463,2.55286846034593,2.39619567751634,0.00154729,0.000209140066590591,0.000836560266362363,0.000209140066590591,0.2,3000,73.0324883215857,29,1.22794262134015,50.7780369077745,1,127.225,61.9096078243014,156.225,94.5637385034127,61.2,156.225,0.180739579407034,28.2360407928639,0.666101812273149,66.4497445922121,0,6,63.2,64.6,1157.33330598502,V_cell,0.775,-6.87782981221297e-05,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.25,1,71.8,0.774739101346057,894.978609874964,16.2538721188031,148.822470847959,63.44991330201,-84.2091192615763,553.642190125036,289.232814529923,346.050903900475,2.56759095621377,2.36861489531833,0.00154729,0.000262959449832655,0.000788878349497966,0.000262959449832655,0.25,3000,73.170883486457,29,1.22794262134015,50.8057153729808,1,127.225,62.0922445755807,156.225,94.7641746080124,61.2,156.225,0.177223679062926,27.6867692616056,0.68351670655222,66.44991330201,0,6,63.2,64.6,1157.33261176463,V_cell,0.775,-0.00026089865394352,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.3,1,71.8,0.774520666245319,894.726273646592,15.77917999911,148.771049288454,63.4501063743718,-84.197065881281,553.894526353408,289.456065304377,346.052641310664,2.58288561964757,2.33702744850497,0.00154729,0.000317461293402188,0.000740743017938438,0.000317461293402188,0.3,3000,73.3147400404757,29,1.22794262134015,50.8337473237972,1,127.225,62.2772138067495,156.225,94.967170510571,61.2,156.225,0.173408841953199,27.0907963341385,0.701333473239161,66.4501063743718,0,6,63.2,64.6,1157.33181943633,V_cell,0.775,-0.000479333754681455,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.19_boundary_076A,2,76,0.2,72.2,0.19,0.35,1,71.8,0.774269721428373,894.436382194057,15.2500117800658,148.717634493532,63.4503296159751,-84.1832357340805,554.184417805943,289.714201234723,346.054650208491,2.59880209680995,2.30065409988182,0.00154729,0.000372686210233954,0.00069213153329163,0.000372686210233954,0.35,3000,73.4647801086602,29,1.22794262134015,50.8621542869047,1,127.225,62.464657561922,156.225,95.1728820984915,61.2,156.225,0.169243663183545,26.4400912808492,0.719579506483756,66.4503296159751,0,6,63.2,64.6,1157.33090591857,V_cell,0.775,-0.000730278571626553,0.19,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.18_boundary_076A,2,76,0.2,68.4,0.18,0.4,1,71.8,0.776005616457358,849.260546650932,15.2094141213893,148.842524990342,63.424907320757,-85.5537115784983,523.117053349068,260.317686246252,345.825876961045,2.52720172026915,2.34908831987898,0.00154729,0.000419443155064371,0.000629164732596556,0.000419443155064371,0.4,3000,73.5741486387313,29,1.22794262134015,50.8851552726901,1,127.225,62.6164298978799,156.225,95.3394458135836,61.2,156.225,0.166308789744755,25.9815906778744,0.732174691462132,66.424907320757,0,6,63.2,64.6,1157.44425468249,V_cell,0.775,0.00100561645735775,0.18,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
