condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,current_density_target_A_cm2,pO2_ca_in_noEGR_kPa,pO2_ca_in_target_kPa,pO2_ca_in_target_error_kPa,air_flow_control,solve_status,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label,life_model_version,life_equivalent_duration_h,life_voltage_factor,life_humidity_factor,life_temperature_factor,life_current_factor,life_cycling_factor,life_damage_rate_mV_h,life_delta_V_deg_mV,life_damage_index,life_projected_to_EOL_h,life_ECSA_ratio_proxy,life_high_potential_exposure_V_h,life_dry_exposure_h,life_high_potential_margin_mV,life_interpretation_status,life_group_key,life_rate_ratio_to_noEGR,life_benefit_vs_noEGR_pct,life_source_file
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0,1,49.7,0.795989944779641,483.961886426022,18.2062582118464,136.245223115523,61.7074477785523,-178.762725371378,278.470113573978,124.719181265611,330.370605261478,2.14305241826627,3.11058069398807,0.001071035,0,0.000690570341791254,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7074477785523,0,5.5,61.6,60.6,1160.7422968259,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,0,solved_for_pO2_ca_in,solved,good,constant_pO2_inlet_variable_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.41188343965936,1,1.04709611367674,1,1,0.0177405319515824,0.0177405319515824,0.000236540426021099,4227.60716559631,0.999905383829592,0,0,-4.01005522035902,usable,constant_pO2_inlet_variable_flow|j=0.1,1,0,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0,1,71.8,0.773686702739362,940.803030531064,17.7230869836575,148.898580238757,63.4748565726498,-82.8695087188249,584.060969468936,318.075432882665,346.275366544023,2.57967876107313,2.40448254673352,0.00154729,0,0.00104316223717517,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.4748565726498,0,6,63.2,64.6,1157.24150169015,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,0,solved_for_pO2_ca_in,solved,good,constant_pO2_inlet_variable_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.19440752868808,1.06122448979592,1.09764375438007,1,1,0.0166956161952363,0.0166956161952363,0.000222608215936484,4492.19718056286,0.999910956713625,0,0.1,-26.313297260638,usable,constant_pO2_inlet_variable_flow|j=0.2,1,0,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.05,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.1,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.15,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.2,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.25,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.3,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.35,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.4,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_076A,2,76,0.2,76,0.2,0.45,6.75,484.65,0.702604325567786,854.366859890428,4.374432444381e-07,129.726841667502,63.5478619935709,-79.0123636531649,670.497140109572,402.493856086769,346.932338189411,0.0833094865568458,0,0.0104442075,0,0,0,0,3000,489.53007073697,2.5,1.0196502259776,31.5592090598373,0,127.225,61.2,129.725,64.206661641823,61.2,129.725,0.192539144761296,24.9771405541591,0.498223715794527,66.5478619935709,0,6,63.2,64.6,1157.05039218304,pO2_ca_in,0.2,30.0794278903335,30.0794278903335,-5.10228733617435,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.700845680416474,1.2492673604149,1.09977167994418,1,1,0.0115547771086089,0.0115547771086089,0.000154063694781452,6490.8218735021,0.999938374522087,0,0.201776284205473,-97.3956744322141,trend_reference,constant_pO2_inlet_variable_flow|j=0.2,0.692084495324336,30.7915504675664,condition_study_constant_pO2_inlet_solved.csv
