model,flow_slpm,use_level,dry_out_omega_meas_kgpkg,dry_out_omega_sim_kgpkg,dry_out_omega_err_kgpkg,dry_out_pH2O_meas_kPa,dry_out_pH2O_sim_kPa,dry_out_pH2O_err_kPa,wet_out_omega_meas_kgpkg,wet_out_omega_sim_kgpkg,wet_out_omega_err_kgpkg,wet_out_pH2O_meas_kPa,wet_out_pH2O_sim_kPa,wet_out_pH2O_err_kPa,water_transfer_meas_kg_s,water_transfer_sim_kg_s,water_transfer_err_kg_s,dry_side_gain_meas_g_s,dry_side_gain_sim_g_s,dry_side_gain_err_g_s,wet_side_loss_meas_g_s,wet_side_loss_sim_g_s,wet_side_loss_err_g_s
GZS180,7000,dual_side_fit_candidate,0.132050378639152,0.0284520463944593,-0.103598332244693,27.2727735423207,6.54765820723577,-20.7251153350849,0.19042541214965,0.290045416193661,0.0996200040440114,32.1665176272101,42.2426056992867,10.0760880720766,0.013918077596219,4.59681957071166e-05,-0.0138721094005119,13.918077596219,0.0459681957071167,-13.8721094005119,10.6733262453703,0.0459681957071176,-10.6273580496632
GZS180,8500,dry_priority_only,0.114393433360927,0.0269787001045026,-0.0874147332564244,26.1500334602795,6.73717439824808,-19.4128590620314,0.177039421946869,0.254908091650463,0.0778686697035945,32.2676701983649,41.3748119773494,9.10714177898446,0.0142743872539046,4.18721874825341e-05,-0.0142325150664221,14.2743872539046,0.0418721874825339,-14.2325150664221,10.4121817800079,0.0418721874825348,-10.3703095925254
GZS180,10000,dual_side_fit_candidate,0.0991465319157671,0.0268514439934598,-0.0722950879223073,25.2200335349021,7.3507990112166,-17.8692345236855,0.159247595499496,0.22523846588192,0.0659908703824235,31.9894595362617,41.1655870008324,9.17612746457072,0.0138873426860476,3.8397002693217e-05,-0.0138489456833544,13.8873426860476,0.0383970026932171,-13.8489456833544,10.6287196363985,0.0383970026932162,-10.5903226337053
GZS180,12000,dual_side_fit_candidate,0.0859060653094801,0.0255864006335106,-0.0603196646759695,24.4088880163161,7.75877456207406,-16.650113454242,0.147878775236514,0.203466927495113,0.0555881522585987,32.2382293875545,41.3576379361788,9.11940854862435,0.0139181548135181,3.57576372097562e-05,-0.0138823971763083,13.9181548135181,0.0357576372097563,-13.8823971763083,10.934948909004,0.0357576372097546,-10.8991912717942
GZS80P,1425,dry_priority_only,0.12175260496086,0.00885646738860071,-0.112896137572259,22.9402160990399,1.92725939574293,-21.012956703297,0.113043695587517,0.155745175655227,0.0427014800677105,20.5673478832991,26.1653913627471,5.59804347944799,0.00321337787762058,6.94652262841238e-05,-0.00314391265133646,3.21337787762058,0.0694652262841238,-3.14391265133646,1.95762747409302,0.957563062654924,-1.0000644114381
GZS80P,2895,dry_priority_only,0.104007945584838,0.0227478187886992,-0.0812601267961388,25.1762822219444,6.0622792102954,-19.114003011649,0.122942235926853,0.167095748931404,0.044153513004551,26.1972624261828,33.1555433337926,6.95828090760975,0.00458312328124234,5.51028823980979e-05,-0.00452802039884424,4.58312328124234,0.055102882398098,-4.52802039884424,3.32876226109707,1.22099247614806,-2.10776978494901
GZS80P,3619,dry_priority_only,0.0959111924782901,0.0256885085363409,-0.0702226839419492,27.4463839990467,8.03758265436175,-19.4088013446849,0.119776295739995,0.174680944422342,0.0549046486823467,29.5556520403551,39.937640348267,10.3819883079119,0.00492860722815485,5.22030417037908e-05,-0.00487640418645106,4.92860722815485,0.0522030417037908,-4.87640418645106,3.50705132604904,0.18923529713861,-3.31781602891043
GZS80P,4000,dual_side_fit_candidate,0.104789340790404,0.0230856366339613,-0.0817037041564427,28.3229305530938,6.92527673313847,-21.3976538199553,0.146658193504346,0.225675169097535,0.0790169755931888,32.041991696562,44.6082884176687,12.5662967211067,0.00634502146125389,5.80583632264221e-05,-0.00628696309802747,6.34502146125389,0.0580583632264222,-6.28696309802747,5.12580766608696,0.0580583632264226,-5.06774930286054
GZS80P,5000,dual_side_fit_candidate,0.0855627696300452,0.0226808838079337,-0.0628818858221115,25.9436771478615,7.4861504717264,-18.4575266761351,0.128900616792621,0.19930189172204,0.0704012749294193,30.7854272427897,44.191260561465,13.4058333186753,0.00610150157114661,5.20500350068839e-05,-0.00604945153613973,6.10150157114661,0.0520500350068838,-6.04945153613973,5.82134606769024,0.0520500350068842,-5.76929603268336
GZS80P,6000,dual_side_fit_candidate,0.061736417511758,0.0145587205049595,-0.0471776970067985,20.0849727860515,5.05640766005864,-15.0285651259929,0.104221949491113,0.15194062606651,0.0477186765753968,28.7226204064031,40.0939349161314,11.3713145097283,0.00554155143093625,5.20478356675369e-05,-0.00548950359526871,5.54155143093625,0.0520478356675368,-5.48950359526871,6.5392495558183,1.72250098117876,-4.81674857463954
